,date,ORC58,ORC62
769,20160822,424.89,494.28
770,20160823,426.8,496.2
771,20160824,428.73,498.63
772,20160825,423.25,489.31
773,20160826,417.13,483.47
774,20160829,412.36,477.82
775,20160830,410.01,475.78
776,20160831,405.99,472.77
777,20160901,406.35,472.79
778,20160902,408.05,475.47
779,20160905,408.1,475.74
780,20160906,415.3,481.22
781,20160907,406.55,471.28
782,20160908,406.23,470.84
783,20160909,406.23,472.61
784,20160912,399.85,466.22
785,20160913,395.65,462.85
786,20160914,395.32,460.67
787,20160919,391.1,458.21
788,20160920,392.88,459.88
789,20160921,393.23,460.46
790,20160922,401.51,467.56
791,20160923,401.52,468.56
792,20160926,401.9,469.06
793,20160927,399.87,466.95
794,20160928,406.17,471.88
795,20160929,403.58,470.66
796,20160930,399.78,466.47
797,20161010,405.75,473.69
798,20161011,414.25,481.62
799,20161012,419.56,486.32
800,20161013,423.38,489.9
801,20161014,425.49,492.54
802,20161017,428.52,494.84
803,20161018,429.86,496.11
804,20161019,430.62,497.62
805,20161020,433.76,501.88
806,20161021,431.76,500.92
807,20161024,435.74,503.46
808,20161025,444.36,514.0
809,20161026,448.36,515.84
810,20161027,449.62,518.58
811,20161028,455.26,526.63
812,20161031,456.28,528.72
813,20161101,460.04,535.04
814,20161102,455.81,530.85
815,20161103,459.71,535.03
816,20161104,460.43,535.74
817,20161107,471.84,550.35
818,20161108,475.18,556.17
819,20161109,495.46,583.52
820,20161110,511.0,611.99
821,20161111,535.34,641.05
822,20161114,551.34,657.1
823,20161115,529.1,628.14
824,20161116,503.84,604.58
825,20161117,507.91,608.22
826,20161118,501.88,607.76
827,20161121,501.78,607.23
828,20161122,516.64,620.43
829,20161123,546.02,650.64
830,20161124,559.79,669.67
831,20161125,572.0,680.99
832,20161128,580.93,693.62
833,20161129,558.02,674.53
834,20161130,533.14,643.44
835,20161201,555.13,670.56
836,20161202,559.82,675.4
837,20161205,571.21,683.83
838,20161206,571.85,684.95
839,20161207,583.03,694.29
840,20161208,584.1,695.2
841,20161209,570.31,685.04
842,20161212,598.5,713.16
843,20161213,599.39,715.31
844,20161214,581.04,693.95
845,20161215,588.2,698.0
846,20161216,575.0,690.42
847,20161219,558.91,672.67
848,20161220,567.76,683.53
849,20161221,567.12,684.6
850,20161222,562.38,676.29
851,20161223,558.43,675.61
852,20161226,557.75,670.63
853,20161227,558.74,672.53
854,20161228,568.11,679.65
855,20161229,573.91,682.03
856,20161230,567.62,675.76
857,20170103,553.7,665.45
858,20170104,555.38,667.12
859,20170105,554.87,667.78
860,20170106,549.86,663.88
