date,SAU,ZTA,DXL,FIF,DPP,DCS,DXP,SCU,ZCF,ZFG,SRB,SAL,FIH,DXI,ZOI,DXC,DXM,SAG,FTF,ZSR,SZN,DJM,FXT,SNI,DXJ,FIC,SHC,DJD,DXY,SRU
20070419,,1024.900997,,,,,,1155.112575,928.537402,,,1031.208826,,,,975.0980876,962.3094654,,,912.7004871,1148.291174,,,,,,,,1026.479005,1195.871909
20070420,,1029.400764,,,,,,1143.945768,930.0908504,,,1046.83627,,,,974.1461225,965.1143852,,,914.8075694,1154.128014,,,,,,,,1024.253072,1168.547981
20070423,,1034.502146,,,,,,1131.427947,930.9160013,,,1043.563441,,,,975.9515363,970.9258836,,,902.1744953,1150.284733,,,,,,,,1028.414388,1141.501083
20070424,,1042.081041,,,,,,1147.92933,928.3236813,,,1048.856003,,,,973.3801303,965.4410072,,,903.758663,1192.234685,,,,,,,,1022.404516,1143.790313
20070425,,1037.836272,,,,,,1108.496369,928.9977964,,,1042.71588,,,,976.5270272,972.9391615,,,905.6427653,1157.834281,,,,,,,,1030.678192,1104.701344
20070426,,1046.738108,,,,,,1117.114486,927.5213464,,,1044.263004,,,,986.1602781,987.9707234,,,911.6213989,1166.351236,,,,,,,,1033.295213,1112.299612
20070427,,1043.026724,,,,,,1073.028771,926.7587217,,,1039.459407,,,,981.0081528,990.8247191,,,903.1649525,1130.306883,,,,,,,,1026.748854,1095.647903
20070430,,1046.806477,,,,,,1114.902187,925.8101565,,,1049.135735,,,,981.9876194,991.5557322,,,904.1903353,1145.197252,,,,,,,,1030.989105,1103.753125
20070508,,1035.460428,,,,,,1138.6857,914.7088793,,,1072.762553,,,,986.8256315,988.8560535,,,918.9064281,1180.843066,,,,,,,,1029.189572,1130.20481
20070509,,1033.080246,,,,,,1149.29194,918.3214889,,,1063.960653,,,,993.8869703,999.3868646,,,920.1442292,1210.965619,,,,,,,,1044.829214,1112.036036
20070510,,1027.782844,,,,,,1143.177336,916.7449051,,,1067.094305,,,,990.5661836,997.3847141,,,911.0705891,1216.224354,,,,,,,,1048.028484,1074.015139
20070511,,1020.576009,,,,,,1091.603086,913.8172491,,,1057.790674,,,,992.0893507,994.617501,,,914.9669422,1167.565206,,,,,,,,1056.141662,1063.550216
20070514,,1031.934854,,,,,,1082.5425,911.1864358,,,1061.966195,,,,998.7545561,1012.353419,,,924.5767529,1170.457449,,,,,,,,1084.813192,1057.893205
20070515,,1038.707675,,,,,,1048.248537,899.8631345,,,1044.512434,,,,996.231018,1005.068159,,,919.1144834,1129.982069,,,,,,,,1075.186505,1034.248554
